date,model,realised_r,VaR_95,ES_95,VaR_99,ES_99
2017-12-21,HistSim,-0.00037352013889346836,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-22,GARCH,0.00503506920951402,0.009467054742957452,0.01203316246849985,0.013719134433569525,0.015403635531982842
2017-12-22,Heston,0.00503506920951402,0.019926562766846997,0.02473065170162247,0.027514487971728036,0.03153098419007582
2017-12-22,Merton,0.00503506920951402,0.011783235205505333,0.017891465878167756,0.022434230525695296,0.027947690114230567
2017-12-22,HistSim,0.00503506920951402,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-26,GARCH,0.003662397967502784,0.00945675962550911,0.011858734772112302,0.013250612737693433,0.015258802890681933
2017-12-26,Heston,0.003662397967502784,0.01959331287033001,0.0248061639695472,0.02801034270383948,0.03285581927063692
2017-12-26,Merton,0.003662397967502784,0.011811732413178868,0.01764144633528197,0.021365284665557566,0.027296030658534073
2017-12-26,HistSim,0.003662397967502784,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-27,GARCH,-0.003876849627346246,0.009096353373003092,0.011653158391273656,0.013224747548789512,0.015601362296860977
2017-12-27,Heston,-0.003876849627346246,0.019922222627042567,0.025125488110657006,0.028173473712784714,0.032598758382334864
2017-12-27,Merton,-0.003876849627346246,0.012017212791996782,0.017791789202803058,0.021608622583214016,0.026881998609413954
2017-12-27,HistSim,-0.003876849627346246,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2017-12-28,GARCH,-0.0012256021006660234,0.00916397117319167,0.011688779056332168,0.013167769144419129,0.015315073304471278
2017-12-28,Heston,-0.0012256021006660234,0.02062546356697784,0.025873740403105017,0.02911502114000566,0.03382637554613084
2017-12-28,Merton,-0.0012256021006660234,0.011734646432174468,0.01800408609361519,0.021998618639718474,0.02821218583196283
2017-12-28,HistSim,-0.0012256021006660234,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
